similarity,reason,preunic_name,maicao_name,preunic_volume_ml,maicao_volume_ml,preunic_concentration,maicao_concentration,label,reviewer_note,preunic_url,maicao_url
1.000,unknown_volume,Set Perfume Hello Kitty EDT + espejo,Set Perfume Hello Kitty Edt + Espejo,100,,edt,edt,,,https://preunic.cl/products/set-perfume-hello-kitty-edt-espejo,https://www.maicao.cl/set-perfume-hello-kitty-edt-espejo/CLMC_578879.html
1.000,unknown_volume,Set Perfume Pink Paris EDT + Scrunchie,Set Perfume Pink Paris Edt + Scrunchie,48,,edt,edt,,,https://preunic.cl/products/set-perfume-pink-paris-edt-scrunchie,https://www.maicao.cl/set-perfume-pink-paris-edt-scrunchie/CLMC_578883.html
1.000,unknown_volume,Set Perfume Mujer Glow EDT + Lápiz,Set Perfume Mujer Glow Edt + Lápiz,100,,edt,edt,,,https://preunic.cl/products/set-perfume-mujer-glow-edt-lapiz,https://www.maicao.cl/set-perfume-mujer-glow-edt-lapiz/CLMC_578882.html
0.981,unknown_volume,Perfume Hombre Vendetta Black EDP 100 ml,Perfume Hombre Vendetta Black EDP,100,,edp,edp,,,https://preunic.cl/products/perfume-hombre-vendetta-black-edp-100-ml,https://www.maicao.cl/perfume-hombre-vendetta-black-edp/CLMC_583005.html
0.972,extra_words,Etienne Noir 100ml NDP,Essence Noir 100 mL,100,100,,,,,https://preunic.cl/products/etienne-noir-100ml-ndp,https://www.maicao.cl/essence-noir-100-ml/CLMC_384437.html
0.961,unknown_volume,Perfume Plaisance Hotphoria Power EDP 80 Ml,Perfume Hotphoria Power EDP,80,,edp,edp,,,https://preunic.cl/products/perfume-plaisance-hotphoria-power-edp-80-ml,https://www.maicao.cl/perfume-hotphoria-power-edp/CLMC_577014.html
0.956,human_same_fragrance_unknown_size,Body Mist Petrizzio Ready To Party 200 Ml,Hair & Body Mist Ready To Party,200,,,,,,https://preunic.cl/products/body-mist-petrizzio-ready-to-party-200-ml,https://www.maicao.cl/hair-and-body-mist-ready-to-party/CLMC_561421.html
0.952,human_same_fragrance_unknown_size,Agua de perfume Acqua,Eau De Parfum Acqua 100 mL,100,100,edp,edp,,,https://preunic.cl/products/agua-de-perfume-acqua,https://www.maicao.cl/eau-de-parfum-acqua-100-ml/CLMC_251964.html
0.951,human_same_fragrance_unknown_size,Eau de Toilette KING ABSOLUTE,King Seduction Absolute Eau de Toilette de 50 mL,50,50,edt,edt,,,https://preunic.cl/products/eau-de-toilette-king-absolute,https://www.maicao.cl/king-seduction-absolute-eau-de-toilette-de-50-ml/CLMC_273900.html
0.950,human_same_fragrance_unknown_size,Eau de Toilette DANCE DIAMONDSÂ Â,Dance Diamonds Eau Toilette 50 mL,50,50,edt,,,,https://preunic.cl/products/eau-de-toilette-dance-diamondsa-a,https://www.maicao.cl/dance-diamonds-eau-toilette-50-ml/CLMC_288749.html
0.948,human_same_fragrance_unknown_size,Body Mist Petrizzio Caramel 200 Ml,Fragancia Hair & Body Mist Caramel,200,,parfum,,,,https://preunic.cl/products/body-mist-petrizzio-caramel-200-ml,https://www.maicao.cl/fragancia-hair-and-body-mist-caramel/CLMC_577013.html
0.946,unknown_volume,Body Splash Itzy Fruity Boom 250 Ml,Body Splash Fruity Boom,250,,parfum,,,,https://preunic.cl/products/body-splash-itzy-fruity-boom-250-ml,https://www.maicao.cl/body-splash-fruity-boom/CLMC_575825.html
0.944,human_same_fragrance_unknown_size,Colonia aroma musk,Colonia Musk 75 mL,75,75,cologne,cologne,,,https://preunic.cl/products/colonia-aroma-musk,https://www.maicao.cl/colonia-musk-75-ml/CLMC_165130.html
0.940,human_same_fragrance_unknown_size,Body Mist Petrizzio Take A Break 200 Ml,Hair & Body Mist Take a Break,200,,,,,,https://preunic.cl/products/body-mist-petrizzio-take-a-break-200-ml,https://www.maicao.cl/hair-and-body-mist-take-a-break/CLMC_561417.html
0.939,human_same_fragrance_unknown_size,Natalie Body Mist Kokone,Body Mist Kokone Panda 250mL,250,250,,,,,https://preunic.cl/products/natalie-body-mist-kokone,https://www.maicao.cl/body-mist-kokone-panda-250ml/CLMC_392374.html
0.936,human_same_fragrance_unknown_size,Body Splash Hot Sensation 250 Ml,Splash Hot Sensation,250,,,,,,https://preunic.cl/products/body-splash-hot-sensation-250-ml,https://www.maicao.cl/splash-hot-sensation/CLMC_544814.html
0.934,human_same_fragrance_unknown_size,Colonia BOTANICALS RASPBERRY,Colonia Spray Raspberry 205 mL,250,205,cologne,cologne,,,https://preunic.cl/products/colonia-botanicals-raspberry,https://www.maicao.cl/colonia-spray-raspberry-205-ml/CLMC_261262.html
0.929,human_same_fragrance_unknown_size,Colonia BOTANICALS CHERRY,Colonia Spray Cherry 205 mL,250,205,cologne,cologne,,,https://preunic.cl/products/colonia-botanicals-cherry,https://www.maicao.cl/colonia-spray-cherry-205-ml/CLMC_261257.html
0.929,human_same_fragrance_unknown_size,Eau de Toilette KING ABSOLUTE,King Seduction Absolute For Men Eau De Toilette Spray 200 mL,50,200,edt,edt,,,https://preunic.cl/products/eau-de-toilette-king-absolute,https://www.maicao.cl/king-seduction-absolute-for-men-eau-de-toilette-spray-200-ml/CLMC_275956.html
0.926,extra_words,Body Splash Candy Pop 250 Ml,Splash Candy Pop Itzy,250,,,,,,https://preunic.cl/products/body-splash-candy-pop-250-ml,https://www.maicao.cl/splash-candy-pop-itzy/CLMC_544811.html
0.921,unknown_volume,Perfume Mujer Hot Excess Edp 100 Ml,Fragancia Hot Excess,100,,edp,,,,https://preunic.cl/products/perfume-mujer-hot-excess-edp-100-ml,https://www.maicao.cl/fragancia-hot-excess/CLMC_544813.html
0.909,human_same_fragrance_unknown_size,Colonia classic para mujer,Colonia Classic Splash Cologne 250 mL,,250,cologne,cologne,,,https://preunic.cl/products/colonia-classic-para-mujer,https://www.maicao.cl/colonia-classic-splash-cologne-250-ml/CLMC_271684.html
0.908,human_same_fragrance_unknown_size,Colonia moments para mujer,Colonia Moments Splash Cologne 250 mL,,250,cologne,cologne,,,https://preunic.cl/products/colonia-moments-para-mujer,https://www.maicao.cl/colonia-moments-splash-cologne-250-ml/CLMC_271681.html
0.902,unknown_volume,Perfume B Benjamin Vicuña EDT 100 ml,B de Benjamin Vicuña,100,,edt,,,,https://preunic.cl/products/perfume-b-benjamin-vicuna-edt-100-ml,https://www.maicao.cl/b-de-benjamin-vicuna/CLMC_544810.html
0.889,extra_words,Body Mist ARIANA GRANDE Sweet LIKE CANDY 236 Ml,ARIANA GR.SWEE.LIK.EDP.30,236,,,edp,,,https://preunic.cl/products/body-mist-ariana-grande-sweet-like-candy-236-ml,https://www.maicao.cl/ariana-grsweelikedp30/CLMC_574687.html
