sample_id,kind,similarity,preunic_name,maicao_name,preunic_brand,maicao_brand,volume_ml,preunic_concentration,maicao_concentration,label,reviewer_note,preunic_url,maicao_url,population
1,same_name,1.000,Agatha Ruiz de la Prada Look! EDT 80ml - Perfume Mujer,Look! EDT 80 mL - Perfume Mujer,Agatha Ruiz de la Prada,AGATHA RUIZ DE LA PRADA,80,edt,edt,,,https://preunic.cl/products/arp-look-edt-80ml-vp,https://www.maicao.cl/look-edt-80-ml-perfume-mujer/CLMC_391206.html,at_sample_time
2,same_name,0.952,Antonio Banderas The Icon EDP 50 Ml,Perfume The Icon New Eau De Parfum 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,edp,edp,,,https://preunic.cl/products/antonio-banderas-the-icon-edp-50-ml,https://www.maicao.cl/perfume-the-icon-new-eau-de-parfum-50-ml/CLMC_528329.html,at_sample_time
3,same_name,0.985,Banderas Hombre King of Seduction Summerland Eau de Toilette 100 ml,King of Seduction Summerland Eau de Toilette 100 ml,Antonio Banderas,ANTONIO BANDERAS,100,edt,edt,,,https://preunic.cl/products/banderas-hombre-king-of-seduction-summerland-eau-de-toilette-100-ml,https://www.maicao.cl/king-of-seduction-summerland-eau-de-toilette-100-ml/CLMC_577528.html,at_sample_time
4,same_name,0.985,Banderas Mujer Queen of Seduction Summerland Eau de Toilette 80 ml,Queen of Seduction Summerland Eau de Toilette 80 ml,Antonio Banderas,ANTONIO BANDERAS,80,edt,edt,,,https://preunic.cl/products/banderas-mujer-queen-of-seduction-summerland-eau-de-toilette-80-ml,https://www.maicao.cl/queen-of-seduction-summerland-eau-de-toilette-80-ml/CLMC_577526.html,at_sample_time
5,same_name,0.999,Body Splash Itzy Pink Melow 250 ml,Body Splash Pink Melow 250 Ml,Itzy,ITZY,250,,,,,https://preunic.cl/products/body-splash-itzy-pink-melow-250-ml,https://www.maicao.cl/body-splash-pink-melow-250-ml/CLMC_585488.html,at_sample_time
6,same_name,0.991,Brut Colonia Classic 100ml,Classic Colonia de 100 mL,Brut,BRUT,100,cologne,cologne,,,https://preunic.cl/products/colonia-classic-para-hombre-de-50ml,https://www.maicao.cl/classic-colonia-de-100-ml/CLMC_255449.html,at_sample_time
7,same_name,0.970,"Colonia Inglesa 451, 400 ml",Inglesa Fragancia de 400 mL,Colonia Inglesa,451,400,cologne,,,,https://preunic.cl/products/colonia-inglesa-451,https://www.maicao.cl/inglesa-fragancia-de-400-ml/CLMC_97037.html,at_sample_time
8,same_name,0.957,Coral EDT Musk 100ml,Eau De Toilette Musk 100 mL,Coral,CORAL,100,edt,edt,,,https://preunic.cl/products/coral-edt-musk-100ml,https://www.maicao.cl/eau-de-toilette-musk-100-ml/CLMC_259124.html,at_sample_time
9,same_name,0.998,Coral Edt Belle 100Ml,Belle Edt 100ml,Coral,CORAL,100,edt,edt,,,https://preunic.cl/products/coral-edt-belle-100ml,https://www.maicao.cl/belle-edt-100ml/CLMC_535402.html,at_sample_time
10,same_name,0.977,EDP Eminence Latitud Atacama 100ml,Perfume Latitud Atacama Edp 100Ml,Eminence,EMINENCE,100,edp,edp,,,https://preunic.cl/products/edp-eminence-latitud-atacama-100ml,https://www.maicao.cl/perfume-latitud-atacama-edp-100ml/CLMC_585829.html,at_sample_time
11,same_name,0.981,EDP Eminence Latitud Pacifico 100ml,Perfume Latitud Pacifico Edp 100Ml,Eminence,EMINENCE,100,edp,edp,,,https://preunic.cl/products/edp-eminence-latitud-pacifico-100ml,https://www.maicao.cl/perfume-latitud-pacifico-edp-100ml/CLMC_585828.html,at_sample_time
