sample_id,kind,similarity,preunic_name,maicao_name,preunic_brand,maicao_brand,volume_ml,preunic_concentration,maicao_concentration,label,reviewer_note,preunic_url,maicao_url
1,identical_core,1.000,Antonio Banderas The Icon EDT 50ml - Perfume Hombre,Antonio Banderas The Icon Edt 50 mL - Perfume Hombre,Antonio Banderas,ANTONIO BANDERAS,50,edt,edt,same,,https://preunic.cl/products/ab-the-icon-edt-50ml,https://www.maicao.cl/antonio-banderas-the-icon-edt-50-ml-perfume-hombre/CLMC_391204.html
2,identical_core,0.991,Body Mist ARIANA GRANDE CLOUD 236 Ml,Ariana Grande Cloud 236 ML Body Mist (M),Ariana Grande,ARIANA GRANDE,236,,,same,,https://preunic.cl/products/body-mist-ariana-grande-cloud-236-ml,https://www.maicao.cl/ariana-grande-cloud-236-ml-body-mist-m/CLMC_560586.html
3,identical_core,0.985,Body Mist Sabrina Carpenter Caramel 236 ml,Sabrina Carpenter Caramel Dream Body Mist 236 ML,Sabrina Carpenter,Sabrina Carpenter,236,,,same,,https://preunic.cl/products/body-mist-sabrina-carpenter-caramel-236-ml,https://www.maicao.cl/sabrina-carpenter-caramel-dream-body-mist-236-ml/CLMC_575878.html
4,identical_core,0.995,Body Mist Sabrina Carpenter Cherry Baby 236 ml,Sabrina Carpenter Cherry Baby Body Mist 236 ML,Sabrina Carpenter,Sabrina Carpenter,236,,,same,,https://preunic.cl/products/body-mist-sabrina-carpenter-cherry-baby-236-ml,https://www.maicao.cl/sabrina-carpenter-cherry-baby-body-mist-236-ml/CLMC_575884.html
5,identical_core,1.000,Body Splash Hot Excess 250 ml,Body Splash Hot Excess 250 ml,Plaisance,PLAISANCE,250,,,same,,https://preunic.cl/products/body-splash-hot-excess-250-ml,https://www.maicao.cl/body-splash-hot-excess-250-ml/CLMC_583778.html
6,identical_core,0.998,Body Splash Itzy Angel 250 ml,Body Splash Angel 250 Ml,Itzy,ITZY,250,,,same,,https://preunic.cl/products/body-splash-itzy-angel-250-ml,https://www.maicao.cl/body-splash-angel-250-ml/CLMC_585490.html
7,identical_core,0.998,Body Splash Itzy Fantasy 250 ml,Body Splash Fantasy 250 Ml,Itzy,ITZY,250,,,same,,https://preunic.cl/products/body-splash-itzy-fantasy-250-ml,https://www.maicao.cl/body-splash-fantasy-250-ml/CLMC_585489.html
8,identical_core,0.980,EDP Eminence Latitud Patagonia 100ml,Perfume Latitud Patagonia Edp 100Ml,Eminence,EMINENCE,100,edp,edp,same,,https://preunic.cl/products/edp-eminence-latitud-patagonia-100ml,https://www.maicao.cl/perfume-latitud-patagonia-edp-100ml/CLMC_585827.html
9,identical_core,0.997,EDP Shakira Fucsia Elixir 50 ml,Shakira Fucsia Elixir Edp 50Ml,Shakira,SHAKIRA,50,edp,edp,same,,https://preunic.cl/products/edp-shakira-fucsia-elixir-50-ml,https://www.maicao.cl/shakira-fucsia-elixir-edp-50ml/CLMC_585037.html
10,identical_core,1.000,EMINENCE EAU DE PARFUM BLUE 100ML,Eau De Parfum Blue 100 mL,EMINENCE,EMINENCE,100,edp,edp,same,,https://preunic.cl/products/eminence-eau-de-parfum-blue,https://www.maicao.cl/eau-de-parfum-blue-100-ml/CLMC_251845.html
11,identical_core,0.998,Eau de Toilette DIAVOLO de 100ml,Eau De Toilette Diavolo 100 mL,Antonio Banderas,ANTONIO BANDERAS,100,edt,edt,same,,https://preunic.cl/products/eau-de-toilette-diavolo,https://www.maicao.cl/eau-de-toilette-diavolo-100-ml/CLMC_124155.html
12,identical_core,0.971,Estuche Banderas Her Golden Secret 50ml + Body Lotion 75ml,Her Golden Secret Eau De Toilette 50 mL+ Loción Hidratante Cuerpo 75 mL,Antonio Banderas,ANTONIO BANDERAS,50,,edt,same,,https://preunic.cl/products/estuche-banderas-her-golden-secret-50ml-body-lotion-75ml,https://www.maicao.cl/her-golden-secret-eau-de-toilette-50-ml-locion-hidratante-cuerpo-75-ml/CLMC_297108.html
13,identical_core,1.000,Etienne Eau The Parfum Carmín 80 ml + Perfumero 10 ml,Eau The Parfum Carmín 80 ml + Perfumero 10 ml,Etienne,ETIENNE,80,parfum,parfum,same,,https://preunic.cl/products/etienne-eau-the-parfum-carmin-80-ml-perfumero-10-ml,https://www.maicao.cl/eau-the-parfum-carmin-80-ml-perfumero-10-ml/CLMC_578870.html
14,identical_core,0.968,Etienne Essence Edp Rose 200Ml,Perfume Rose 200ml,Etienne,ETIENNE,200,edp,,same,,https://preunic.cl/products/etienne-essence-edp-rose-200ml,https://www.maicao.cl/perfume-rose-200ml/CLMC_401678.html
15,identical_core,0.959,Fragancia EDP Hot in Black 80 ml Plaisance,Eau de Parfum Hot in Black 80 mL,Plaisance,PLAISANCE,80,edp,edp,same,,https://preunic.cl/products/perfume-hot-black-para-mujer,https://www.maicao.cl/eau-de-parfum-hot-in-black-80-ml/CLMC_258911.html
16,identical_core,0.998,Fragancia Jean Les Pins Agua de Gardenia EDT 100 ML,Fragancia Agua De Gardenia Edt 100 Ml,Jean Les Pins,JEAN LES PINS,100,edt,edt,same,,https://preunic.cl/products/fragancia-jean-les-pins-agua-de-gardenia-edt-100-ml,https://www.maicao.cl/fragancia-agua-de-gardenia-edt-100-ml/CLMC_587293.html
17,typo_only,0.977,Fragancia Mujer Jeans Les Pins Agua de Jazmín EDT 100 Ml,Fragancia Agua de Jazmin EDT 100ml,Jeans Les Pins,JEAN LES PINS,100,edt,edt,same,,https://preunic.cl/products/fragancia-mujer-jeans-les-pins-agua-de-jazmin-edt-100-ml,https://www.maicao.cl/fragancia-agua-de-jazmin-edt-100ml/CLMC_561543.html
18,identical_core,0.998,Millionaire Edp Red New Lust 100Ml,Red New Lust 100ml EDP,Millionaire,MILLIONAIRE,100,edp,edp,same,,https://preunic.cl/products/millionaire-edp-red-new-lust-100ml,https://www.maicao.cl/red-new-lust-100ml-edp/CLMC_401681.html
19,identical_core,0.993,Perfume Antonio Banderas The Icon Attitude Hombre EDP 100 ml,Perfume Hombre Banderas The Icon Attitude EDP 100ml,Antonio Banderas,ANTONIO BANDERAS,100,edp,edp,same,,https://preunic.cl/products/perfume-antonio-banderas-the-icon-attitude-hombre-edp-100-ml,https://www.maicao.cl/perfume-hombre-banderas-the-icon-attitude-edp-100ml/CLMC_560892.html
20,identical_core,0.982,Perfume Ariana Grande ARI EDP 30 Ml,Ariana Grande Ari EDP 30 ml,Ariana Grande,ARIANA GRANDE,30,edp,edp,same,,https://preunic.cl/products/perfume-ariana-grande-ari-edp-30-ml,https://www.maicao.cl/ariana-grande-ari-edp-30-ml/CLMC_576768.html
21,identical_core,0.998,Perfume Mujer Antonio Banderas The Icon Splendid Edp 50 Ml,Perfume Mujer The Icon Splendid EDP 50ml,Antonio Banderas,ANTONIO BANDERAS,50,edp,edp,same,,https://preunic.cl/products/perfume-mujer-antonio-banderas-the-icon-splendid-edp-50-ml,https://www.maicao.cl/perfume-mujer-the-icon-splendid-edp-50ml/CLMC_557510.html
22,identical_core,0.971,Perfume Mujer Banderas Her Secret Pink Absolu EDP 80 Ml,Her Secret Pink Absolu Eau de Parfum 80 ml,Antonio Banderas,ANTONIO BANDERAS,80,edp,edp,same,,https://preunic.cl/products/perfume-mujer-banderas-her-secret-pink-absolu-edp-80-ml,https://www.maicao.cl/her-secret-pink-absolu-eau-de-parfum-80-ml/CLMC_575672.html
23,identical_core,0.984,Perfume Mujer Banderas Icon Woman Supreme 50 Ml,Banderas Perfumes Mujer The Icon Supreme EDP 50ml,Antonio Banderas,ANTONIO BANDERAS,50,,edp,same,,https://preunic.cl/products/perfume-mujer-banderas-icon-woman-supreme-50-ml,https://www.maicao.cl/banderas-perfumes-mujer-the-icon-supreme-edp-50ml/CLMC_570594.html
24,identical_core,0.963,Perfume Mujer Etienne Essence EDP Carmin 80 Ml,Etienne Perfume Carmin 80 ml,Etienne,ETIENNE,80,edp,,same,,https://preunic.cl/products/perfume-mujer-etienne-essence-edp-carmin-80-ml,https://www.maicao.cl/etienne-perfume-carmin-80-ml/CLMC_570267.html
25,identical_core,1.000,Perfume Mujer Hot Vainilla EDP 100 ml,Perfume Mujer Hot Vainilla Edp 100 Ml,Plaisance,PLAISANCE,100,edp,edp,same,,https://preunic.cl/products/perfume-mujer-hot-vainilla-edp-100-ml-new,https://www.maicao.cl/perfume-mujer-hot-vainilla-edp-100-ml/CLMC_587292.html
26,identical_core,0.999,Perfume Mujer Plaisance Hot Elixir EDP 100 ml,Perfume Mujer Hot Elixir EDP 100ml,Plaisance,PLAISANCE,100,edp,edp,same,,https://preunic.cl/products/perfume-mujer-plaisance-hot-elixir-edp-100-ml,https://www.maicao.cl/perfume-mujer-hot-elixir-edp-100ml/CLMC_570231.html
27,identical_core,0.997,Perfume Mujer Shakira Fucsia Edp 50 Ml,Perfume Mujer Fucsia EDP 50ml,Shakira,SHAKIRA,50,edp,edp,same,,https://preunic.cl/products/perfume-mujer-shakira-fucsia-edp-50-ml,https://www.maicao.cl/perfume-mujer-fucsia-edp-50ml/CLMC_558819.html
28,identical_core,0.985,Perfume The Icon Elixir Antonio Banderas Edp 50 Ml,The Icon Elixir EDP 50ML,Antonio Banderas,ANTONIO BANDERAS,50,edp,edp,same,,https://preunic.cl/products/perfume-the-icon-elixir-antonio-banderas-edp-50-ml,https://www.maicao.cl/the-icon-elixir-edp-50ml/CLMC_548419.html
29,identical_core,0.996,Touch Hair & Body Mist Etienne Gourmand 240ML,Gourmand Touch Hair & Body Mist 240Ml,Etienne,ETIENNE,240,,,same,,https://preunic.cl/products/touch-hair-body-mist-etienne-gourmand-240ml,https://www.maicao.cl/gourmand-touch-hair-and-body-mist-240ml/CLMC_585824.html
30,identical_core,0.996,Touch Hair & Body Mist Etienne Pistachio 240ML,Pistachio Touch Hair & Body Mist 240Ml,Etienne,ETIENNE,240,,,same,,https://preunic.cl/products/touch-hair-body-mist-etienne-pistachio-240ml,https://www.maicao.cl/pistachio-touch-hair-and-body-mist-240ml/CLMC_585826.html
