pair_id,bucket,pattern,similarity,preunic_name,maicao_name,preunic_brand,maicao_brand,preunic_volume_ml,maicao_volume_ml,preunic_concentration,maicao_concentration,only_preunic_words,only_maicao_words,suggested_label,suggested_reason,label,reviewer_note,preunic_url,maicao_url
1,extra_after_typo_or_compound,,0.969,Itzy Splash Cozy Vanilla 250 Ml,Body Splash Itzy Cozy Vainilla 250 mL,Itzy,ITZY,250,250,cologne,,vanilla,body vainilla,same,vanilla/vainilla; 'body' es formato,same,,https://preunic.cl/products/itzy-splash-cozy-vanilla-250-ml,https://www.maicao.cl/body-splash-itzy-cozy-vainilla-250-ml/CLMC_391199.html
2,extra_after_typo_or_compound,,0.962,Body Mist Sabrina Carpenter Sweettooth 236 ml,Sabrina Carpenter Sweet Tooth 236 ML,Sabrina Carpenter,SABRINA CARPENTER,236,236,,,body mist sweettooth,sweet tooth,same,sweettooth = sweet tooth; ambos body mist 236,same,,https://preunic.cl/products/body-mist-sabrina-carpenter-sweettooth-236-ml,https://www.maicao.cl/sabrina-carpenter-sweet-tooth-236-ml/CLMC_576823.html
3,extra_after_typo_or_compound,,0.932,Bellekiss Colonia 1Lt Fresh,Colonia Fresca Floral Familiar 1000 mL,Bellekiss,BELLEKISS,1000,1000,cologne,cologne,fresh,familiar floral fresca,unsure,"Fresh≈Fresca, pero Maicao agrega 'Floral'; Preunic sin volumen",different,,https://preunic.cl/products/bellekiss-colonia-1lt-fresh,https://www.maicao.cl/colonia-fresca-floral-familiar-1000-ml/CLMC_278012.html
4,extra_after_typo_or_compound,,0.931,Bellekiss Colonia 1Lt Fresh,Colonia Fresca Blue Familiar 1000 mL,Bellekiss,BELLEKISS,1000,1000,cologne,cologne,fresh,blue familiar fresca,unsure,"Fresh≈Fresca, pero Maicao agrega 'Blue'; Preunic sin volumen",different,,https://preunic.cl/products/bellekiss-colonia-1lt-fresh,https://www.maicao.cl/colonia-fresca-blue-familiar-1000-ml/CLMC_277848.html
5,one_sided_extra,,0.988,Perfume Mujer Shakira S Kiss Blush Limited Edition EDT 80 Ml,Perfume Mujer S Blush Kiss EDT 80ml,Shakira,SHAKIRA,80,80,edt,edt,edition limited,,same,mismas palabras en otro orden; 'limited edition' describe el envase,same,,https://preunic.cl/products/perfume-mujer-shakira-s-kiss-blush-limited-edition-edt-80-ml,https://www.maicao.cl/perfume-mujer-s-blush-kiss-edt-80ml/CLMC_565593.html
6,one_sided_extra,collection_word,0.985,Body Mist Sabrina Carpenter Caramel 236 ml,Sabrina Carpenter Caramel Dream Body Mist 236 ML,Sabrina Carpenter,Sabrina Carpenter,236,236,,,,dream,same,Preunic corta 'Caramel Dream',same,,https://preunic.cl/products/body-mist-sabrina-carpenter-caramel-236-ml,https://www.maicao.cl/sabrina-carpenter-caramel-dream-body-mist-236-ml/CLMC_575878.html
7,one_sided_extra,collection_word,0.984,EDP Sabrina Carpenter Caramel 30ML,Sabrina Carpenter Caramel Dream EDP 30 ML,Sabrina Carpenter,Sabrina Carpenter,30,30,edp,edp,,dream,same,Preunic corta 'Caramel Dream',same,,https://preunic.cl/products/edp-sabrina-carpenter-caramel-30ml,https://www.maicao.cl/sabrina-carpenter-caramel-dream-edp-30-ml/CLMC_575880.html
8,one_sided_extra,collection_word,0.984,Etienne essence eau de parfum rouge 100 ML,Eau De Parfum Spray Rouge 100 mL,Etienne,ETIENNE,100,100,edp,edp,essence,,same,'Essence' es la colección Etienne,same,,https://preunic.cl/products/etienne-essence-eau-de-parfum-rouge-100-ml,https://www.maicao.cl/eau-de-parfum-spray-rouge-100-ml/CLMC_298853.html
9,one_sided_extra,collection_word,0.981,Perfume Etienne Essence Aura 100 Ml,perfume EDP Aura 100ml,Etienne,ETIENNE,100,100,,edp,essence,,same,'Essence' es la colección Etienne; Aura base (no Aura Violet),same,,https://preunic.cl/products/perfume-etienne-essence-aura-100-ml,https://www.maicao.cl/perfume-edp-aura-100ml/CLMC_554011.html
10,one_sided_extra,,0.976,Body Mist ARIANA GRANDE THANK U NEXT 236 Ml,Ariana Grande Thank U Next Body Spay 236ml (M),Ariana Grande,ARIANA GRANDE,236,236,,,mist,,same,body mist = body spray,same,,https://preunic.cl/products/body-mist-ariana-grande-thank-u-next-236-ml,https://www.maicao.cl/ariana-grande-thank-u-next-body-spay-236ml-m/CLMC_560589.html
11,one_sided_extra,,0.975,Body Mist Ariana Grande Mod Blush 236 Ml,ARIANA GR.MOD BLU.SP236ML,Ariana Grande,ARIANA GRANDE,236,236,,,body mist,,same,abreviatura expandida; mismo body mist 236,same,,https://preunic.cl/products/body-mist-ariana-grande-mod-blush-236-ml,https://www.maicao.cl/ariana-grmod-blusp236ml/CLMC_575099.html
12,one_sided_extra,,0.972,Body Splash Mujer Plaisance Hot Sexy 250 Ml,Splash Mujer Hot Sexy EDC 250 ml,Plaisance,PLAISANCE,250,250,,cologne,body,,same,body splash = splash,same,,https://preunic.cl/products/splash-mujer-hot-sexy-plaisance-250-ml-pzzo,https://www.maicao.cl/splash-mujer-hot-sexy-edc-250-ml/CLMC_557453.html
13,one_sided_extra,,0.971,Eau de Toilette BLUE WOMAN de 50ml,Eau de Toilette Blue seduction For women de 50 mL,Antonio Banderas,ANTONIO BANDERAS,50,50,edt,edt,,seduction,unsure,"'Blue Woman' probablemente = Blue Seduction for Women, no confirmable por nombre",same,,https://preunic.cl/products/eau-de-toilette-blue-woman,https://www.maicao.cl/eau-de-toilette-blue-seduction-for-women-de-50-ml/CLMC_258276.html
14,one_sided_extra,,0.97,Perfume Mujer  Lattafa Yara EDP 100 Ml,Yara W.EDP SP100M,Lataffa,LATTAFA,100,100,edp,edp,lataffa,,same,Yara EDP 100 (Lattafa),same,,https://preunic.cl/products/perfume-mujer-lattafa-yara-edp-100-ml,https://www.maicao.cl/yara-wedp-sp100m/CLMC_589472.html
15,one_sided_extra,,0.968,Body Mist Heiress Paris Hilton 236 Ml,Perfume Corporal Body Mist Spray 236 mL,Paris Hilton,PARIS HILTON,236,236,edt,,heiress,,unsure,Maicao no nombra la fragancia (genérico 'Body Mist Spray'),different,,https://preunic.cl/products/p-hilton-body-mist-x236ml-heiress,https://www.maicao.cl/perfume-corporal-body-mist-spray-236-ml/CLMC_283840.html
16,one_sided_extra,collection_word,0.968,Etienne Essence Edp Rose 200Ml,Perfume Rose 200ml,Etienne,ETIENNE,200,200,edp,,essence,,same,'Essence' es la colección Etienne,same,,https://preunic.cl/products/etienne-essence-edp-rose-200ml,https://www.maicao.cl/perfume-rose-200ml/CLMC_401678.html
17,one_sided_extra,,0.966,Body Mist Ariana Grande Thank U Next 2.0 236 Ml,ARIANA GR.THAN2.0 SP.236M,Ariana Grande,ARIANA GRANDE,236,236,,,body mist,,same,Thank U Next 2.0 en ambos,same,,https://preunic.cl/products/body-mist-ariana-grande-thank-u-next-2-0-236-ml,https://www.maicao.cl/ariana-grthan20-sp236m/CLMC_575097.html
18,one_sided_extra,,0.965,Body Mist Natalie 250 Ml,Body Mist Yuki Buho 250mL,Natalie,NATALIE,250,250,,,,buho yuki,unsure,Preunic no nombra la fragancia (Natalie genérico),different,,https://preunic.cl/products/body-mist-natalie-250-ml,https://www.maicao.cl/body-mist-yuki-buho-250ml/CLMC_392375.html
19,one_sided_extra,,0.965,Body Mist Natalie 250 Ml,Body Mist Kokone Panda 250mL,Natalie,NATALIE,250,250,,,,kokone panda,unsure,Preunic no nombra la fragancia (Natalie genérico),different,,https://preunic.cl/products/body-mist-natalie-250-ml,https://www.maicao.cl/body-mist-kokone-panda-250ml/CLMC_392374.html
20,one_sided_extra,,0.965,Perfume Hombre Lattafa Asad EDP 100 Ml,Asad M.EDP SP100M,Lataffa,LATTAFA,100,100,edp,edp,lataffa,,same,Asad EDP 100 (Lattafa),same,,https://preunic.cl/products/perfume-hombre-lattafa-asad-edp-100-ml,https://www.maicao.cl/asad-medp-sp100m/CLMC_589473.html
21,one_sided_extra,collection_word,0.965,Etienne Essence Edp Elle 100Ml,Eau De Parfum Elle 100 ml,Etienne,ETIENNE,100,100,edp,edp,essence,,same,'Essence' es la colección Etienne,same,,https://preunic.cl/products/etienne-essence-edp-elle-100ml,https://www.maicao.cl/eau-de-parfum-elle-100-ml/CLMC_401675.html
