pair_id,label,case,preunic_name,maicao_name,preunic_url,maicao_url
1,same,nombres idénticos,Perfume Mujer She Is EDP 100 ml,Perfume Mujer She Is EDP 100 ml,https://preunic.cl/products/perfume-mujer-she-is-edp-100-ml,https://www.maicao.cl/perfume-mujer-she-is-edp-100-ml/CLMC_578354.html
2,same,mayúsculas,Perfume Ariana Grande CLOUD EDP 30 ML,Ariana Grande Cloud EDP 30 ML (M),https://preunic.cl/products/perfume-ariana-grande-cloud-edp-30-ml,https://www.maicao.cl/ariana-grande-cloud-edp-30-ml-m/CLMC_560588.html
3,same,palabra unida,EDP Sabrina Carpenter Sweettooth 30ML,Sabrina Carpenter Sweet Tooth EDP 30 ML,https://preunic.cl/products/edp-sabrina-carpenter-sweettooth-30ml,https://www.maicao.cl/sabrina-carpenter-sweet-tooth-edp-30-ml/CLMC_575883.html
4,same,orden,EDP Shakira Fucsia Elixir 50 ml,Shakira Fucsia Elixir Edp 50Ml,https://preunic.cl/products/edp-shakira-fucsia-elixir-50-ml,https://www.maicao.cl/shakira-fucsia-elixir-edp-50ml/CLMC_585037.html
5,same,typos,Silver Quorum Ear De Toliette 100ml Vapo,Silver Eau de Toilette de 100 mL,https://preunic.cl/products/silver-quorum-ear-de-toliette-100ml-vapo,https://www.maicao.cl/silver-eau-de-toilette-de-100-ml/CLMC_252383.html
6,same,abreviatura de marca y año,Skr Perfume Dance Red Midnight 2021 Edt 50Ml,Fragancia Shakira Dance Red Midnight  Edt 50 mL,https://preunic.cl/products/skr-perfume-dance-red-midnight-2021-edt-50ml,https://www.maicao.cl/fragancia-shakira-dance-red-midnight-edt-50-ml/CLMC_391624.html
7,same,abreviaturas Maicao,Body Mist Ariana Grande Mod Vanilla 236 Ml,ARIANA GR.MOD VAI.SP236ML,https://preunic.cl/products/body-mist-ariana-grande-mod-vanilla-236-ml,https://www.maicao.cl/ariana-grmod-vaisp236ml/CLMC_575098.html
8,same,abreviaturas Maicao,Body Mist Ariana Grande God Is a Woman 236 Ml,ARIANA GR.GOD WOM SP236ML,https://preunic.cl/products/body-mist-ariana-grande-god-is-a-woman-236-ml,https://www.maicao.cl/ariana-grgod-wom-sp236ml/CLMC_575096.html
9,same,flanker en ambos lados,Perfume The Icon Elixir Antonio Banderas Edp 50 Ml,The Icon Elixir EDP 50ML,https://preunic.cl/products/perfume-the-icon-elixir-antonio-banderas-edp-50-ml,https://www.maicao.cl/the-icon-elixir-edp-50ml/CLMC_548419.html
10,same,género en ambos lados,Perfume Hombre Banderas Icon Man Supreme 50 ML,Banderas Perfume Hombre The Icon Supreme EDP 50ml,https://preunic.cl/products/perfume-hombre-banderas-icon-man-supreme-50-ml,https://www.maicao.cl/banderas-perfume-hombre-the-icon-supreme-edp-50ml/CLMC_570595.html
11,same,Preunic sin volumen en el nombre,Eau de Toilette KING OF SEDUCTION,King Of Seduction Eau de Toilette de  50 mL,https://preunic.cl/products/eau-de-toilette-king-of-seduction,https://www.maicao.cl/king-of-seduction-eau-de-toilette-de-50-ml/CLMC_271316.html
12,same,flanker en ambos lados,Banderas Hombre King of Seduction Summerland Eau de Toilette 100 ml,King of Seduction Summerland Eau de Toilette 100 ml,https://preunic.cl/products/banderas-hombre-king-of-seduction-summerland-eau-de-toilette-100-ml,https://www.maicao.cl/king-of-seduction-summerland-eau-de-toilette-100-ml/CLMC_577528.html
13,different,flanker Elixir vs base,Perfume The Icon Elixir Antonio Banderas Edp 50 Ml,Perfume The Icon New Eau De Parfum 50 mL,https://preunic.cl/products/perfume-the-icon-elixir-antonio-banderas-edp-50-ml,https://www.maicao.cl/perfume-the-icon-new-eau-de-parfum-50-ml/CLMC_528329.html
14,different,versión mujer del flanker,Perfume The Icon Elixir Antonio Banderas Edp 50 Ml,The Icon Elixir Women Edp 50Ml,https://preunic.cl/products/perfume-the-icon-elixir-antonio-banderas-edp-50-ml,https://www.maicao.cl/the-icon-elixir-women-edp-50ml/CLMC_586050.html
15,different,hombre vs mujer,Perfume Hombre Banderas Icon Man Supreme 50 ML,Banderas Perfumes Mujer The Icon Supreme EDP 50ml,https://preunic.cl/products/perfume-hombre-banderas-icon-man-supreme-50-ml,https://www.maicao.cl/banderas-perfumes-mujer-the-icon-supreme-edp-50ml/CLMC_570594.html
16,different,flanker Absolute,Eau de Toilette KING OF SEDUCTION,King Seduction Absolute Eau de Toilette de 50 mL,https://preunic.cl/products/eau-de-toilette-king-of-seduction,https://www.maicao.cl/king-seduction-absolute-eau-de-toilette-de-50-ml/CLMC_273900.html
17,different,King vs Queen,Banderas Hombre King of Seduction Summerland Eau de Toilette 100 ml,Queen of Seduction Summerland Eau de Toilette 80 ml,https://preunic.cl/products/banderas-hombre-king-of-seduction-summerland-eau-de-toilette-100-ml,https://www.maicao.cl/queen-of-seduction-summerland-eau-de-toilette-80-ml/CLMC_577526.html
